股票代號,股票名稱,,近240日成交量合計,近240日籌碼集中度
2449,京元電子,,2129747,-1.9
2450,神腦,,28399,-2.5
2451,創見,,123848,-3
2453,凌群,,59857,-1
2454,聯發科,,2261625,-3.1
2455,全新,,673998,-3.3
2457,飛宏,,1432335,0.1
2458,義隆,,556713,-2
2459,敦吉,,17987,-8.5
2460,建通,,79169,0
2461,光群雷,,184663,1.4
2462,良得電,,348253,-0.5
2464,盟立,,67750,-1.1
2465,麗臺,,462684,0
2466,冠西電,,33784,0.1
2467,志聖,,48702,4.8
2468,華經,,432366,-0.3
2471,資通,,27598,2.3
2472,立隆電,,84805,2.4
2474,可成,,1124318,5.6
2476,鉅祥,,503221,-1.2
2477,美隆電,,72464,2
2478,大毅,,43442,4.3
2480,敦陽科,,80685,-1.6
2481,強茂,,1716732,-2.9
2482,連宇,,1159449,0.1
2483,百容,,143436,-0.4
2484,希華,,611343,0
2485,兆赫,,204245,-0.4
2486,一詮,,510279,-0.3
2488,漢平,,34263,3.5
2489,瑞軒,,529928,-2.5
2491,吉祥全,,56698,-0.6
2492,華新科,,490171,-1.5
2493,揚博,,44182,6
2495,普安,,362740,3.6
2496,卓越,,6009,-0.9
2497,怡利電,,1399062,-0.5
2498,宏達電,,7564676,-0.3
2501,國建,,145676,-12.4
2504,國產,,858311,1.4
2505,國揚,,65058,11.7
2506,太設,,90528,1.1
2509,全坤建,,23390,11.7
2511,太子,,215704,3.3
2514,龍邦,,37246,8.1
2515,中工,,1102928,0.5
2516,新建,,48111,-0.6
2520,冠德,,298648,-6.8
2524,京城,,44594,5
2527,宏璟,,75434,-10.2
2528,皇普,,41082,-5.1
2530,華建,,204458,0.3
2534,宏盛,,391962,1.9
2535,達欣工,,128450,-0.1
2536,宏普,,79188,10.1
2537,聯上發,,407499,-5.6
2538,基泰,,303583,10.3
2539,櫻花建,,82484,-4.7
2540,愛山林,,85824,-1.2
2542,興富發,,1820929,-6.5
2543,皇昌,,70803,-0.4
2545,皇翔,,188901,1
2546,根基,,25300,-1.3
2547,日勝生,,230632,4.1
2548,華固,,150425,-8.7
2596,綠意,,18976,-18.7
2597,潤弘,,42577,3.3
2601,益航,,816540,1.4
2603,長榮,,19971849,0.6
2605,新興,,1441527,0.8
2606,裕民,,2483945,1.3
2607,榮運,,2829115,0.3
2608,嘉里大榮,,331032,-0.2
2609,陽明,,12406918,-0.2
2610,華航,,22445175,-1.7
2611,志信,,671965,-0.6
2612,中航,,307179,0.2
2613,中櫃,,506731,-0.2
2614,東森,,1044928,-0.2
2615,萬海,,4895247,-0.7
2616,山隆,,34657,-11.8
2617,台航,,600382,0.3
2618,長榮航,,25718778,0.6
2630,亞航,,28530,1.8
2633,台灣高鐵,,1164453,0.8
2634,漢翔,,2068838,0.8
2636,台驊投控,,566668,1.1
2637,慧洋-KY,,3163382,0
2640,大車隊,,11869,9
2641,正德,,911709,-0.5
2642,宅配通,,406625,-0.2
2643,捷迅,,15528,1.4
2701,萬企,,35922,2.2
2702,華園,,130571,-1.4
2704,國賓,,103952,2.4
2705,六福,,111500,-1.7
2706,第一店,,54302,-1.8
2707,晶華,,213609,3.5
2712,遠雄來,,3750,-5.2
2718,晶悅,,1985,1.5
2719,燦星旅,,3716,-0.3
2722,夏都,,27442,0.2
2723,美食-KY,,277464,1.4
2724,富驛-KY,,1952,2
2726,雅茗-KY,,23547,-4.9
